调整订单	物料代码	仓库	调整原因	输入日期	调整库存	金额
T70000848	KN851W2510	N01	TZK10	2020-07-11	-3	-46517.34
T70000852	KN851W2510	N01	TZK10	2020-07-13	3	46517.34
ADJ070646	KN850W1096	F20	T175	2020-07-22	2	8425.42
ADJ070646	KN850W1093	F20	T175	2020-07-22	-2	-8593.34
ADJ071382	KN850W1633	F20	T175	2020-07-25	1	4318.09
ADJ071382	KN850W1632	F20	T175	2020-07-25	-1	-4393.92
T70000842	KN850W2170	N01	TZK17	2020-07-05	-1	-4444.28
T70000853	KN850W1090	N01	TZK17	2020-07-13	-1	-4324.52
T70000856	KN850W1094	N01	TZK17	2020-07-18	1	4393.26
T70000839	KN850W0660	N01	TZK17	2020-07-05	2	6647.26
ADJ071073	KM800N7060	F20	T175	2020-07-24	-14	-20018.32
ADJ071073	KM800N7061	F20	T175	2020-07-24	14	20018.32
ADJ071382	KM800N7690	F20	T175	2020-07-25	-1	-1292.37
ADJ071382	KM800N7691	F20	T175	2020-07-25	1	1292.37
ADJ071073	KM810N1910	F20	T175	2020-07-24	-18	-17665.02
ADJ071073	KM810N1912	F20	T175	2020-07-24	18	17468.82
ADJ070491	KM810N4651	G10	T180	2020-07-21	-2	-2200.3
T70000846	KM810N5120	N01	TZK17	2020-07-10	1	1041.61
ADJ070491	KM810N4641	G10	T180	2020-07-21	-2	-1877.04
T70000846	KM810N5060	N01	TZK17	2020-07-10	2	1760.04
ADJ071382	KM810N4931	F20	T175	2020-07-25	2	1640.96
ADJ071382	KM810N4930	F20	T175	2020-07-25	-2	-1678.84
ADJ071382	KM810N6791	F20	T175	2020-07-25	1	735.57
ADJ071382	KM810N6790	F20	T175	2020-07-25	-1	-736.97
ADJ070491	KM810N4631	G10	T180	2020-07-21	-2	-1611.98
ADJ070491	KF014W0850	G10	T180	2020-07-21	-3	-3778.11
ADJ070491	KF014N0840	G10	T180	2020-07-21	-1	-895.46
ADJ070491	KF014W0800	G10	T180	2020-07-21	-3	-3221.97
ADJ070491	KF014N0750	G10	T180	2020-07-21	-1	-808.94
ADJ070491	KF014N0800	G10	T180	2020-07-21	-1	-747.75
ADJ071073	KF014W0621	F20	T175	2020-07-24	-2	-1992.26
ADJ071073	KF014W0620	F20	T175	2020-07-24	2	1948.5
ADJ070491	KF014W0760	G10	T180	2020-07-21	-3	-2908.38
ADJ070491	KF018N1090	G10	T180	2020-07-21	-2	-1267
ADJ070491	KF014W0790	G10	T180	2020-07-21	-2	-1784.24
ADJ070491	KF014N0790	G10	T180	2020-07-21	-1	-652.61
T70000846	KF014N0890	N01	TZK17	2020-07-10	2	1153.36
ADJ070491	KF018N1110	G10	T180	2020-07-21	-1	-509.49
ADJ070491	KF014N0820	G10	T180	2020-07-21	-1	-534.6
ADJ070491	KF014W0820	G10	T180	2020-07-21	-2	-1508.1
ADJ070491	KF018N1120	G10	T180	2020-07-21	-1	-473.21
ADJ068901	KF014W0420	F20	T217	2020-06-30	-2	-1544.56
T70000846	KF014N0910	N01	TZK17	2020-07-10	2	915.72
T70000860	KF014W0770	N01	TZK17	2020-07-24	-1	-791.27
ADJ070811	KF014W0370	F20	T175	2020-07-23	-304	-203360.8
ADJ070811	KF014W0371	F20	T175	2020-07-23	304	203160.16
ADJ070491	KF018N1160	G10	T180	2020-07-21	-2	-1009.62
ADJ070491	KF014W0830	G10	T180	2020-07-21	-4	-2451.72
ADJ070491	KF014W0780	G10	T180	2020-07-21	-1	-652.54
ADJ070491	KF014N0780	G10	T180	2020-07-21	-1	-571.07
ADJ070216	KB299W46401	F20	T175	2020-07-16	19	18535.07
ADJ070216	KB299W46400	F20	T175	2020-07-16	-19	-17338.07
ADJ070216	KB505W00800	F20	T175	2020-07-16	-220	-226978.4
ADJ070216	KB505W00801	F20	T175	2020-07-16	220	242486.2
ADJ070616	KB489W40800	F20	T175	2020-07-22	-1	-985.57
ADJ070616	KB489W40811	F20	T175	2020-07-22	1	954.03
ADJ070616	KB489W40800	F20	T175	2020-07-22	-1	-985.57
ADJ070616	KB489W40811	F20	T175	2020-07-22	1	954.03
ADJ070816	KB489W40811	F20	T175	2020-07-23	1	954.03
ADJ070816	KB489W40807	F20	T175	2020-07-23	-1	-957.25
ADJ071073	KB450W00800	F20	T175	2020-07-24	-1	-1020.31
ADJ071073	KB450W00802	F20	T175	2020-07-24	1	1046.3
ADJ071073	KB489W40800	F20	T175	2020-07-24	-24	-23653.68
ADJ071073	KB489W40803	F20	T175	2020-07-24	24	22953.6
ADJ069911	KA198W40700	G10	T180	2020-07-14	-3	-2191.11
ADJ069911	KA299W47100	G10	T180	2020-07-14	-3	-2353.05
ADJ069911	KA354W40702	G10	T180	2020-07-14	-4	-2962.32
ADJ069911	KA442W47900	G10	T180	2020-07-14	-2	-1418.42
ADJ070491	KB354W03400	G10	T180	2020-07-21	-1	-868.35
ADJ070491	KB526W00800	G10	T180	2020-07-21	-1	-1044.82
ADJ070491	KA240W40800	G10	T180	2020-07-21	-4	-3462.8
ADJ070491	KB530W40800	G10	T180	2020-07-21	-1	-895.89
T70000845	KA354W40702	N01	TL03	2020-07-07	-1	-740.58
T70000839	KB489W45600	N01	TZK17	2020-07-05	2	1812.7
T70000839	KB526W00800	N01	TZK17	2020-07-05	3	3134.46
T70000839	KB336W07200	N01	TZK17	2020-07-05	2	2174.72
T70000841	KB283W04802	N01	TZK17	2020-07-05	-2	-2089.96
T70000851	KB336W07200	N01	TZK17	2020-07-13	-1	-1087.36
T70000857	KB526W00800	N01	TZK17	2020-07-19	-1	-1044.82
T70000859	KB354W50800	N01	TZK17	2020-07-24	-1	-868.33
ADJ069911	KA299N47100	G10	T180	2020-07-14	-3	-1098.24
ADJ069911	KA354N40700	G10	T180	2020-07-14	-3	-1213.65
ADJ069911	KA442N40700	G10	T180	2020-07-14	-3	-1084.62
ADJ069911	KA442N47900	G10	T180	2020-07-14	-2	-701.02
ADJ070491	KB393N01600	G10	T180	2020-07-21	-3	-1560.06
ADJ070491	KB299N53600	G10	T180	2020-07-21	-2	-817.24
ADJ070491	KA275N40800	G10	T180	2020-07-21	-4	-1632.68
T70000839	KB336N07200	N01	TZK17	2020-07-05	3	1957.98
T70000839	KB526N00800	N01	TZK17	2020-07-05	2	1061.32
T70000839	KB489N46400	N01	TZK17	2020-07-05	1	538.5
T70000841	KB299N50400	N01	TZK17	2020-07-05	-3	-1202.97
T70000841	KB291N01600	N01	TZK17	2020-07-05	-1	-622.81
T70000842	KB299N53600	N01	TZK17	2020-07-05	-1	-408.62
T70000842	KB359N02800	N01	TZK17	2020-07-05	-1	-536.82
T70000851	KB336N07200	N01	TZK17	2020-07-13	-1	-652.66
T70000857	KB526N00800	N01	TZK17	2020-07-19	-1	-530.66
T70000859	KB354N50800	N01	TZK17	2020-07-24	-1	-430.84
T70000843	KB489W43800	N01	T112	2020-07-05	-1	-888.89
ADJ070216	KB299W46200	F20	T175	2020-07-16	2	1789.82
ADJ070216	KB299W46204	F20	T175	2020-07-16	-2	-1752.9
ADJ070216	KB299W46210	F20	T175	2020-07-16	7	6153.56
ADJ070216	KB299W46204	F20	T175	2020-07-16	-7	-6135.15
ADJ070616	KB506W00600	F20	T175	2020-07-22	-228	-218843.52
ADJ070616	KB506W00601	F20	T175	2020-07-22	228	248599.8
ADJ070816	KB489W40605	F20	T175	2020-07-23	9	8458.65
ADJ070816	KB489W40600	F20	T175	2020-07-23	-9	-8403.93
ADJ071072	KB299W46200	F20	T175	2020-07-24	-4	-3579.64
ADJ071072	KB299W46204	F20	T175	2020-07-24	4	3505.8
ADJ071072	KB336W00600	F20	T175	2020-07-24	-121	-124718.33
ADJ071072	KB336W00601	F20	T175	2020-07-24	121	124913.14
ADJ071073	KB489W40610	F20	T175	2020-07-24	-28	-26324.48
ADJ071073	KB489W40605	F20	T175	2020-07-24	28	26315.8
ADJ071075	KB506W00600	F20	T175	2020-07-24	-140	-134377.6
ADJ071075	KB506W00601	F20	T175	2020-07-24	140	152649
ADJ071075	KB450W00600	F20	T175	2020-07-24	-12	-11929.92
ADJ071075	KB450W00603	F20	T175	2020-07-24	12	11888.4
ADJ069911	KA198W40500	G10	T180	2020-07-14	-4	-2945.84
ADJ069911	KA299W46900	G10	T180	2020-07-14	-3	-2301.81
ADJ069911	KA354W40500	G10	T180	2020-07-14	-2	-1476.18
ADJ068901	KB450W00603	F20	T217	2020-06-30	-1	-990.7
T70000841	KB283W04600	N01	TZK17	2020-07-05	-1	-1020.74
T70000843	KB489N43800	N01	T112	2020-07-05	-1	-520.97
ADJ069911	KA299N46900	G10	T180	2020-07-14	-3	-1098.24
ADJ069911	KA354N40500	G10	T180	2020-07-14	-2	-810.12
ADJ069911	KA442N40500	G10	T180	2020-07-14	-4	-1435.24
ADJ068961	KA240W46201	F20	T175	2020-07-03	53	35242.88
ADJ068961	KA240W46200	F20	T175	2020-07-03	-53	-35355.77
ADJ070616	KA240W46201	F20	T175	2020-07-22	5	3324.8
ADJ070616	KA240W46200	F20	T175	2020-07-22	-5	-3335.45
ADJ070616	KA354W40301	F20	T175	2020-07-22	34	22000.04
ADJ070616	KA354W40300	F20	T175	2020-07-22	-34	-21514.18
ADJ070616	KB338W00401	F20	T175	2020-07-22	95	89637.25
ADJ070616	KB338W00400	F20	T175	2020-07-22	-95	-89484.3
ADJ071072	KB283W04400	F20	T175	2020-07-24	-20	-19209
ADJ071072	KB283W04409	F20	T175	2020-07-24	20	19141.6
ADJ071072	KB338W00400	F20	T175	2020-07-24	-55	-51806.7
ADJ071072	KB338W00401	F20	T175	2020-07-24	55	51895.25
ADJ071075	KA240W46200	F20	T175	2020-07-24	-235	-156766.15
ADJ071075	KA240W46201	F20	T175	2020-07-24	235	156265.6
ADJ071382	KA240W46201	F20	T175	2020-07-25	-106	-70485.76
ADJ071382	KA240W46200	F20	T175	2020-07-25	106	70711.54
ADJ069911	KA198W40300	G10	T180	2020-07-14	-4	-2696
ADJ069911	KA346W40301	G10	T180	2020-07-14	-3	-1994.55
ADJ070491	KB359W05600	G10	T180	2020-07-21	-1	-1145.87
ADJ070491	KB526W00400	G10	T180	2020-07-21	-1	-924.71
ADJ070491	KB354W02001	G10	T180	2020-07-21	-1	-865.77
ADJ070491	KB530W40400	G10	T180	2020-07-21	-3	-2508.12
T70000839	KB359W05600	N01	TZK17	2020-07-05	4	4583.48
T70000839	KB336W06800	N01	TZK17	2020-07-05	1	929.91
T70000858	KB359W05600	N01	TZK17	2020-07-24	2	2291.74
T70000858	KB336W06800	N01	TZK17	2020-07-24	1	929.91
ADJ069911	KA346N40300	G10	T180	2020-07-14	-3	-1034.28
ADJ069911	KA442N40300	G10	T180	2020-07-14	-4	-1312.68
ADJ070491	KB393N01200	G10	T180	2020-07-21	-1	-521.55
T70000839	KB359N05600	N01	TZK17	2020-07-05	5	2738.05
T70000839	KB336N06800	N01	TZK17	2020-07-05	1	652.5
T70000858	KB489N46000	N01	TZK17	2020-07-24	3	1500.99
ADJ069911	KA198W40100	G10	T180	2020-07-14	-4	-2505.48
ADJ069911	KA275W42500	G10	T180	2020-07-14	-2	-1365.74
ADJ069911	KA442W46501	G10	T180	2020-07-14	-3	-1892.91
T70000858	KA354W40200	N01	TZK17	2020-07-24	1	726.4
T70000861	KA354W40200	N01	TZK17	2020-07-25	-1	-726.4
ADJ069911	KA299N46500	G10	T180	2020-07-14	-1	-355.63
ADJ069911	KA442N40100	G10	T180	2020-07-14	-4	-1313.48
ADJ069911	KA442N46500	G10	T180	2020-07-14	-3	-972.3
T70000858	KA354N40200	N01	TZK17	2020-07-24	1	422.61
T70000861	KA354N40200	N01	TZK17	2020-07-25	-1	-422.61
TB1002421	01222006030610P	B31	T331	2020-07-25	1	47.9063
TB1002421	01222006030619P	B31	T331	2020-07-25	7	719.18
TB1002421	01222006030627P	B31	T331	2020-07-25	7	0
TB1002421	01222006030909P	B31	T331	2020-07-25	1	0
TB1002421	01222006030919P	B31	T331	2020-07-25	7	0
TB1002421	01222006030920P	B31	T331	2020-07-25	2	0
TB1002421	01222006030926P	B31	T331	2020-07-25	2	0
TB1002421	01222006030927P	B31	T331	2020-07-25	7	0
TB1002421	01546000712209P	B31	T331	2020-07-25	2	70.86
TB1002421	01546000737232P	B31	T331	2020-07-25	2	0.0002
TB1002421	01546001455167P	B31	T331	2020-07-25	9	1308.24
TB1002421	01546001455168P	B31	T331	2020-07-25	8	849.12
TB1002421	01546001455169P	B31	T331	2020-07-25	8	1222
TB1002421	01546001455170P	B31	T331	2020-07-25	8	1374.88
TB1002421	01546001455171P	B31	T331	2020-07-25	2	344.94
TB1002421	01546001455172P	B31	T331	2020-07-25	2	346.22
TB1002421	01546001455189P	B31	T331	2020-07-25	1	123.01
TB1002421	01546001455207P	B31	T331	2020-07-25	3	513.51
TB1002421	01546001455209P	B31	T331	2020-07-25	12	2073.36
TB1002421	01546001455210P	B31	T331	2020-07-25	5	867.75
TB1002421	01546001455211P	B31	T331	2020-07-25	1	178.95
TB1002421	01546001455212P	B31	T331	2020-07-25	1	201.04
TB1002421	01546001455227P	B31	T331	2020-07-25	2	345.92
TB1002421	01546001455228P	B31	T331	2020-07-25	1	112.11
TB1002421	01546001455229P	B31	T331	2020-07-25	6	1076.46
TB1002421	01546001455230P	B31	T331	2020-07-25	2	419.62
TB1002421	01546001455232P	B31	T331	2020-07-25	1	211.33
TB1002406	01314100044P	B20	TB06	2020-07-18	-10	-121.7
TB1002392	01264100008P	B20	TYE1	2020-07-02	-3	-54.63
TB1002392	01314100045P	B20	TYE1	2020-07-02	-4	-77
TB1002398	01264100008P	B20	TYE1	2020-07-07	-1	-18.21
TB1002405	012076000021P	B20	TYE1	2020-07-14	-8	-157.28
TB1002405	01264100008P	B20	TYE1	2020-07-14	-1	-18.21
TB1002405	01314100045P	B20	TYE1	2020-07-14	-5	-96.25
TB1002405	01344100003P	B20	TYE1	2020-07-14	-2	-7.98
TB1002410	01264100027P	B20	TYE1	2020-07-19	-6	-116.52
TB1002410	01264100052P	B20	TYE1	2020-07-19	-3	-75.36
TB1002410	01314100013P	B20	TYE1	2020-07-19	-2	-46.72
TB1002410	01314100014P	B20	TYE1	2020-07-19	-4	-113.08
TB1002410	01314100045P	B20	TYE1	2020-07-19	-2	-38.5
TB1002412	01264100008P	B20	TYE1	2020-07-22	-1	-18.21
TB1002416	01314100013P	B20	TYE1	2020-07-24	-2	-46.72
TB1002416	01314100014P	B20	TYE1	2020-07-24	-1	-28.27
TB1002421	0154600077002P	B31	T331	2020-07-25	2	0.0002
TB1002421	0154600124546P	B31	T331	2020-07-25	2	237.42
TB1002421	0154600124549P	B31	T331	2020-07-25	2	302.36
TB1002421	0154600124946P	B31	T331	2020-07-25	1	120.04
TB1002421	0154600160622P	B31	T331	2020-07-25	6	998.34
TB1002421	017075060541P	B31	T331	2020-07-25	1	25.9037
TB1002421	017075060544P	B31	T331	2020-07-25	1	0.0003
TB1002421	017075060554P	B31	T331	2020-07-25	1	1.1624
TB1002410	0119410005401P	B20	TYE1	2020-07-19	-1	-36.12
TB1002410	017000000342P	B20	TYE1	2020-07-19	-1	-33.18
TB1002412	01314100011P	B20	TYE1	2020-07-22	-2	-58.88
ADJ070796	49010056	F11	T175	2020-07-23	-4	-2.28
ADJ070796	49010056	F11	T175	2020-07-23	4	2.28
ADJ068906	49010051	A008	T184	2020-06-30	-120	-22.8
ADJ069183	73028000001	A008	T184	2020-07-07	-2	-228.92
ADJ070222	24210014	A008	T184	2020-07-16	-5	-0.95
ADJ070841	0741600049203	A008	T184	2020-07-24	-1	-49.75
ADJ071245	5511800000401	A008	T184	2020-07-25	-8	-5.2
ADJ071311	812052060046	A008	T184	2020-07-25	-10	-1053.1
TB1002385	06390009	B11	T331	2020-06-27	50	7
TB1002385	06390009	B11	T331	2020-07-06	50	7
TB1002385	06390009	B11	T331	2020-07-15	50	7
TB1002385	06390009	B11	T331	2020-07-20	5	0.7
TB1002385	06390009	B11	T331	2020-07-24	5	0.7
TB1002385	06390009	B11	T331	2020-07-24	45	6.3
TB1002385	06390009	B11	T331	2020-07-25	10	1.4
TB1002385	06390009	B11	T331	2020-07-25	5	0.7
ADJ069032	0749600000356	F31	T331	2020-07-06	2	3852.92
ADJ068696	83088006	B31	T999	2020-06-26	-200	-5698
ADJ068696	83088008	B31	T999	2020-06-26	200	3988
ADJ068696	83088006	B31	T999	2020-06-27	-200	-5698
ADJ068696	83088008	B31	T999	2020-06-27	200	3988
ADJ068696	83088006	B31	T999	2020-06-27	-200	-5698
ADJ068696	83088008	B31	T999	2020-06-27	200	3988
ADJ068696	83088006	B31	T999	2020-06-29	-300	-8547
ADJ068696	83088008	B31	T999	2020-06-29	300	5982
ADJ068696	83088006	B31	T999	2020-07-02	-500	-14245
ADJ068696	83088008	B31	T999	2020-07-02	500	9970
ADJ068696	83088006	B31	T999	2020-07-10	-100	-2849
ADJ068696	83088008	B31	T999	2020-07-10	100	1994
ADJ068696	83088006	B31	T999	2020-07-11	-500	-14245
ADJ068696	83088008	B31	T999	2020-07-11	500	9970
ADJ068696	83088006	B31	T999	2020-07-14	-500	-14245
ADJ068696	83088008	B31	T999	2020-07-14	500	9970
ADJ068696	83088006	B31	T999	2020-07-23	-60	-1709.4
ADJ068696	83088008	B31	T999	2020-07-23	60	1196.4
ADJ068696	83088006	B31	T999	2020-07-24	-220	-6267.8
ADJ068696	83088008	B31	T999	2020-07-24	220	4386.8
ADJ068696	83088006	B31	T999	2020-07-25	-720	-20512.8
ADJ068696	83088008	B31	T999	2020-07-25	720	14356.8
TS0001776	110023000001	C11	T999	2020-06-27	504.55	136.2285
TS0001776	110023000001	C11	T999	2020-06-30	845	228.15
TS0001776	110008060053	C11	T999	2020-07-09	0.15	0.03
TS0001776	110023000001	C11	T999	2020-07-22	-225.25	-60.8175
TS0001776	110008060053	C11	T999	2020-07-22	225.25	45.05
TS0001776	110023000001	C11	T999	2020-07-24	-75	-20.25
TS0001776	110008060053	C11	T999	2020-07-24	75	15
TS0001776	110023000001	C11	T999	2020-07-25	-75	-20.25
TS0001776	110008060053	C11	T999	2020-07-25	75	15
ADJ070943	15000005	A008	TES01	2020-07-24	-3	-21986.13
TS0001781	84010254	C11	T175	2020-07-01	4	0.48
TS0001781	84010254	C11	T175	2020-07-02	-4	-0.48
TS0001776	84010254	C11	T999	2020-06-27	1670	200.4
TS0001776	84010254	C11	T999	2020-06-28	600	72
TS0001776	84010254	C11	T999	2020-06-29	600	72
TS0001776	84010254	C11	T999	2020-06-30	1889.8	226.776
TS0001776	84010254	C11	T999	2020-07-02	4	0.48
TS0001776	84010254	C11	T999	2020-07-02	150	18
TS0001776	84010254	C11	T999	2020-07-05	8550	1026
TS0001776	84010254	C11	T999	2020-07-10	950.6	114.072
TS0001776	84010254	C11	T999	2020-07-18	1344	161.28
TS0001776	84010254	C11	T999	2020-07-19	2100	252
TL1000590	84010242	D11	T999	2020-07-23	200	2230
TL1000602	84010242	D11	T999	2020-07-07	1000	11150
TL1000602	84010242	D11	T999	2020-07-20	1200	13380
TL1000602	84010242	D11	T999	2020-07-20	400	4460
TL1000602	84010242	D11	T999	2020-07-25	800	8920
TL1000602	84010242	D11	T999	2020-07-25	100	1115
TL1000602	84010242	D11	T999	2020-07-25	300	3345
TG1000317	84010243	D21	T999	2020-07-12	-608	-9873.92
ADJ071387	84010254	F11	T999	2020-07-25	6634.4	796.128
ADJ055818	82080034	D51	T108	2020-07-21	-15	-130.05
TG1000298	82088010	D21	T999	2020-07-20	18	25269.12
TG1000298	82088010	D21	T999	2020-07-22	15	21057.6
TG1000298	82088010	D21	T999	2020-07-25	3	4211.52
TG1000298	82088010	D21	T999	2020-07-25	2	2807.68
TG1000298	82088010	D21	T999	2020-07-25	5	7019.2
TG1000298	82080006	D21	T999	2020-07-25	1	54.83
TK1000007	82080136	E11	T999	2020-07-03	-75	-10625.25
TK1000007	82080136	E11	T999	2020-07-03	-52	-7366.84
TK1000007	82080136	E11	T999	2020-07-03	-33	-4675.11
TK1000007	82080136	E11	T999	2020-07-03	-28	-3966.76
TK1000007	82080136	E11	T999	2020-07-03	-29	-4108.43
TK1000007	82080136	E11	T999	2020-07-03	-32	-4533.44
TK1000007	82080136	E11	T999	2020-07-03	-33	-4675.11
TK1000007	82080136	E11	T999	2020-07-03	-35	-4958.45
TK1000007	82080136	E11	T999	2020-07-03	-33	-4675.11
TK1000007	82080136	E11	T999	2020-07-03	-21	-2975.07
TK1000007	82080136	E11	T999	2020-07-14	-24	-3400.08
TK1000007	82080136	E11	T999	2020-07-14	-34	-4816.78
TK1000007	82080136	E11	T999	2020-07-14	-24	-3400.08
TK1000007	82080136	E11	T999	2020-07-14	-24	-3400.08
TK1000007	82080136	E11	T999	2020-07-14	-24	-3400.08
TK1000007	82080136	E11	T999	2020-07-14	-26	-3683.42
TK1000007	82080136	E11	T999	2020-07-14	-23	-3258.41
TK1000007	82080136	E11	T999	2020-07-14	-26	-3683.42
TK1000007	82080136	E11	T999	2020-07-14	-18	-2550.06
TK1000007	82080136	E11	T999	2020-07-14	-41	-5808.47
TK1000007	82080136	E11	T999	2020-07-14	-20	-2833.4
TK1000007	82080136	E11	T999	2020-07-16	-26	-3683.42
TK1000007	82080136	E11	T999	2020-07-16	-25	-3541.75
TK1000007	82080136	E11	T999	2020-07-22	-26	-3683.42
TK1000007	82080136	E11	T999	2020-07-22	-32	-4533.44
TK1000007	82080136	E11	T999	2020-07-22	-23	-3258.41
TK1000007	82080136	E11	T999	2020-07-22	-10	-1416.7
TK1000007	82080136	E11	T999	2020-07-22	-48	-6800.16
TK1000007	82080136	E11	T999	2020-07-22	-27	-3825.09
TK1000007	82080136	E11	T999	2020-07-25	-23	-3258.41
TK1000024	82080021	E11	T999	2020-07-05	9	1278.63
TK1000024	82080021	E11	T999	2020-07-06	70	9944.9
TK1000024	82080021	E11	T999	2020-07-24	45	6393.15
TK1000024	82080021	E11	T999	2020-07-25	88	12502.16
TK1000024	82080021	E11	T999	2020-07-25	4	568.28
TK1000024	82080021	E11	T999	2020-07-25	2	284.14
ADJ069553	82080037	A008	TEK01	2020-07-09	-60	-814.2
ADJ070471	82080034	A008	TEK01	2020-07-21	-200	-1734
ADJ068865	82080034	A03	TEK02	2020-06-30	-10.3136	-89.4189
ADJ069940	82080037	A008	TES01	2020-07-14	-20	-271.4
ADJ070100	82080037	A008	TES01	2020-07-16	-20	-271.4
ADJ070390	82080037	A008	TES01	2020-07-21	-60	-814.2
ADJ070407	82080034	A008	TES01	2020-07-21	-260	-2254.2
ADJ070890	82080037	A008	TES01	2020-07-24	-40	-542.8
ADJ070898	82080047	A008	TES01	2020-07-24	-30	-4450.5
ADJ069007	82080014	A008	TG06	2020-07-06	-2	-263.52
ADJ069163	82080071	A008	TG06	2020-07-07	-20	-1809.2
ADJ069181	82080004	A008	TG06	2020-07-07	-80	-4290.4
ADJ069182	82080011	A008	TG06	2020-07-07	-20	-2573
ADJ070251	92064014	A008	TG06	2020-07-17	-2	-528.02
ADJ070791	92064014	A008	TG06	2020-07-23	-2	-528.02
ADJ070289	92064014	A008	TL06A	2020-07-19	-2	-528.02
ADJ070864	82080014	A008	TL06A	2020-07-24	-2	-263.52
TL1000599	82080117	D11	TL06A	2020-07-24	-1	-63.64
ADJ068706	85000011	965335	T167	2020-06-27	-8	-206.8
ADJ068717	811034000001	A008	T167	2020-06-28	-720	-9720
TS0001781	811079060004	C11	T175	2020-06-30	131.0604	1888.5804
TS0001781	811079060004	C11	T175	2020-07-02	-131.0604	-1888.5804
ADJ068931	84010738	A008	T184	2020-07-01	-200	-5400
TB1002386	92063006	B22	T331	2020-06-27	50	188
TB1002386	92063006	B22	T331	2020-07-06	50	188
TB1002386	92063006	B22	T331	2020-07-13	50	188
TB1002386	92063006	B22	T331	2020-07-23	20	75.2
TB1002386	92063006	B22	T331	2020-07-24	3	11.28
TB1002386	92063006	B22	T331	2020-07-25	20	75.2
ADJ058321	85000011	D51	T331	2020-07-21	0.01	0.2585
ADJ058321	85000011	D51	T331	2020-07-21	-0.01	-0.2585
ADJ055916	85000011	F41	T331	2020-07-21	0.01	0.2585
ADJ068696	84010074	B31	T999	2020-07-08	700	1106
ADJ068696	84010074	B31	T999	2020-07-14	25	39.5
ADJ068696	84010074	B31	T999	2020-07-20	830	1311.4
ADJ068696	84010074	B31	T999	2020-07-23	5	7.9
TS0001776	811079060004	C11	T999	2020-06-28	168.656	2430.333
TS0001776	811079060004	C11	T999	2020-06-29	38.7858	558.9034
TS0001776	811079060004	C11	T999	2020-07-02	131.0604	1888.5804
TS0001776	811079060004	C11	T999	2020-07-02	15.6252	225.1591
TS0001776	811079060004	C11	T999	2020-07-05	81.63	1176.2883
TS0001776	811079060004	C11	T999	2020-07-06	0.0436	0.6283
TS0001776	811079060004	C11	T999	2020-07-09	43.665	629.2127
TS0001776	811079060004	C11	T999	2020-07-09	15.6842	226.0093
TS0001776	811079060004	C11	T999	2020-07-10	16.804	242.1456
TS0001776	811079060004	C11	T999	2020-07-11	26.925	387.9893
TS0001776	811079060004	C11	T999	2020-07-14	49.155	708.3236
TS0001776	811079060004	C11	T999	2020-07-16	49.1874	708.7904
TS0001776	811079060004	C11	T999	2020-07-17	32.415	467.1002
TS0001776	811079060004	C11	T999	2020-07-18	48.4248	697.8014
TS0001776	811079060004	C11	T999	2020-07-19	33.85	487.7785
TS0001776	811079060004	C11	T999	2020-07-22	114.1093	1644.315
TS0001776	811079060004	C11	T999	2020-07-25	60.1284	866.4502
TS0001776	811079060004	C11	T999	2020-07-25	10.8	155.628
TS0001776	811079060004	C11	T999	2020-07-25	1.1573	16.6767
TL1000602	84010742	D11	T999	2020-07-07	1000	11460
TL1000602	84010742	D11	T999	2020-07-12	500	5730
TL1000602	84010742	D11	T999	2020-07-20	300	3438
TL1000602	84010742	D11	T999	2020-07-20	200	2292
TL1000602	84010742	D11	T999	2020-07-20	86	985.56
TL1000602	84010742	D11	T999	2020-07-20	11	126.06
TL1000602	84010742	D11	T999	2020-07-25	300	3438
TL1000602	84010742	D11	T999	2020-07-25	60	687.6
TL1000602	84010742	D11	T999	2020-07-25	9	103.14
TL1000602	84010742	D11	T999	2020-07-25	50	573
TL2000001	84010742	D31	T999	2020-07-20	10	114.6
TL2000001	84010742	D31	T999	2020-07-25	1	11.46
TG2000005	84018012	D41	T999	2020-07-20	1	1.08
TG2000005	84018012	D41	T999	2020-07-23	39	42.12
TK1000024	811097000001	E11	T999	2020-06-26	2	1825.64
TK1000024	84020226	E11	T999	2020-06-27	40	7249.2
TK1000024	84038002	E11	T999	2020-06-27	315	437.85
TK1000024	811097000001	E11	T999	2020-06-27	8	7302.56
TK1000024	811016000001	E11	T999	2020-06-27	2	298.96
TK1000024	811016000001	E11	T999	2020-06-27	41	6128.68
TK1000024	84020226	E11	T999	2020-06-27	27	4893.21
TK1000024	84038002	E11	T999	2020-06-27	410	569.9
TK1000024	84020226	E11	T999	2020-07-01	90	16310.7
TK1000024	84038002	E11	T999	2020-07-01	1070	1487.3
TK1000024	76510101	E11	T999	2020-07-01	175	117.25
TK1000024	811016000001	E11	T999	2020-07-02	190	28401.2
TK1000024	84020226	E11	T999	2020-07-02	115	20841.45
TK1000024	84038002	E11	T999	2020-07-02	3330	4628.7
TK1000024	84038002	E11	T999	2020-07-05	355	493.45
TK1000024	84020226	E11	T999	2020-07-05	65	11779.95
TK1000024	76510101	E11	T999	2020-07-05	445	298.15
TK1000024	811097000001	E11	T999	2020-07-05	8	7302.56
TK1000024	84020226	E11	T999	2020-07-06	45	8155.35
TK1000024	84038002	E11	T999	2020-07-06	583	810.37
TK1000024	76510101	E11	T999	2020-07-06	134	89.78
TK1000024	811097000001	E11	T999	2020-07-06	2	1825.64
